 => AccountValue(account='DU5417029', tag='NetDividend', value='0.00', currency='BASE', modelCode='')
 => AccountValue(account='DU5417029', tag='NetDividend', value='0.00', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='NetDividend', value='0.00', currency='USD', modelCode='')
 => AccountValue(account='DU5417029', tag='NetLiquidation', value='3990.68', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='NetLiquidationByCurrency', value='3990.6791', currency='BASE', modelCode='')
 => AccountValue(account='DU5417029', tag='NetLiquidationByCurrency', value='4998.09', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='NetLiquidationByCurrency', value='-1048.6188', currency='USD', modelCode='')
 => AccountValue(account='DU5417029', tag='NetLiquidationUncertainty', value='6.28', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='OptionMarketValue', value='-1114.89', currency='BASE', modelCode='')
 => AccountValue(account='DU5417029', tag='OptionMarketValue', value='0.00', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='OptionMarketValue', value='-1160.50', currency='USD', modelCode='')
 => AccountValue(account='DU5417029', tag='PASharesValue', value='0.00', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='PhysicalCertificateValue', value='0.00', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='PostExpirationExcess', value='0.00', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='PostExpirationMargin', value='0.00', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='RealCurrency', value='EUR', currency='BASE', modelCode='')
 => AccountValue(account='DU5417029', tag='RealCurrency', value='EUR', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='RealCurrency', value='USD', currency='USD', modelCode='')
 => AccountValue(account='DU5417029', tag='RealizedPnL', value='0.00', currency='BASE', modelCode='')
 => AccountValue(account='DU5417029', tag='RealizedPnL', value='0.00', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='RealizedPnL', value='0.00', currency='USD', modelCode='')
 => AccountValue(account='DU5417029', tag='SegmentTitle-S', value='CFD', currency='', modelCode='')
 => AccountValue(account='DU5417029', tag='StockMarketValue', value='0.00', currency='BASE', modelCode='')
 => AccountValue(account='DU5417029', tag='StockMarketValue', value='0.00', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='StockMarketValue', value='0.00', currency='USD', modelCode='')
 => AccountValue(account='DU5417029', tag='TBillValue', value='0.00', currency='BASE', modelCode='')
 => AccountValue(account='DU5417029', tag='TBillValue', value='0.00', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='TBillValue', value='0.00', currency='USD', modelCode='')
 => AccountValue(account='DU5417029', tag='TBondValue', value='0.00', currency='BASE', modelCode='')
 => AccountValue(account='DU5417029', tag='TBondValue', value='0.00', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='TBondValue', value='0.00', currency='USD', modelCode='')
 => AccountValue(account='DU5417029', tag='TotalCashBalance', value='5105.5734', currency='BASE', modelCode='')
 => AccountValue(account='DU5417029', tag='TotalCashBalance', value='4998.09', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='TotalCashBalance', value='111.88', currency='USD', modelCode='')
 => AccountValue(account='DU5417029', tag='TotalCashValue', value='5105.58', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='TotalDebitCardPendingCharges', value='0.00', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='TradingType-S', value='STKNOPT', currency='', modelCode='')
 => AccountValue(account='DU5417029', tag='UnrealizedPnL', value='-780.94', currency='BASE', modelCode='')
 => AccountValue(account='DU5417029', tag='UnrealizedPnL', value='0.00', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='UnrealizedPnL', value='-812.89', currency='USD', modelCode='')
 => AccountValue(account='DU5417029', tag='WarrantValue', value='0.00', currency='BASE', modelCode='')
 => AccountValue(account='DU5417029', tag='WarrantValue', value='0.00', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='WarrantValue', value='0.00', currency='USD', modelCode='')
 => AccountValue(account='DU5417029', tag='Cryptocurrency', value='', currency='EUR', modelCode='')
 => AccountValue(account='DU5417029', tag='Cryptocurrency', value='', currency='USD', modelCode='')
 => AccountValue(account='DU5417029', tag='Cryptocurrency', value='', currency='BASE', modelCode='')
